Transaction Date,Post Date,Description,Category,Type,Amount
02/16/2020,02/18/2020,BAAGAN,Food & Drink,Sale,-44.51
02/17/2020,02/18/2020,CVS/PHARMACY #09378,Health & Wellness,Sale,-19.11
02/17/2020,02/18/2020,SPARKYS,Food & Drink,Sale,-12.90
02/17/2020,02/18/2020,CVS/PHARMACY #09378,Health & Wellness,Sale,-40.46
02/17/2020,02/18/2020,WHOLEFDS RAM 10126,Groceries,Sale,-29.07
02/15/2020,02/16/2020,CVS/PHARMACY #03024,Health & Wellness,Sale,-12.55
02/12/2020,02/12/2020,Payment Thank You - Web,,Payment,122.00
02/11/2020,02/12/2020,WHOLEFDS DUN #10547,Groceries,Sale,-98.65
02/10/2020,02/12/2020,HALF PRICE BOOKS #112,Shopping,Sale,-21.83
02/10/2020,02/11/2020,ENTERPRISE RENT-A-CAR,Travel,Sale,-231.36
02/10/2020,02/11/2020,WHOLEFDS DUN #10547,Groceries,Sale,-61.62
02/10/2020,02/11/2020,LYFT   *RIDE SUN 5PM,Travel,Sale,-8.18
02/09/2020,02/11/2020,SAFEWAY #1953,Groceries,Sale,-15.00
02/09/2020,02/10/2020,CHEVRON 0095006,Gas,Sale,-50.00
02/09/2020,02/10/2020,URBAN PLATES #6,Food & Drink,Sale,-35.22
02/07/2020,02/09/2020,RALEY S #119,Groceries,Sale,-133.77
02/06/2020,02/07/2020,WHOLEFDS DUN #10547,Groceries,Sale,-59.59
02/04/2020,02/06/2020,PET FOOD EXPRESS 2010,Shopping,Sale,-10.91
02/04/2020,02/05/2020,SQ *SUSAN PORTER,Personal,Sale,-102.00
02/02/2020,02/03/2020,DOORDASH*C CASA,Food & Drink,Sale,-65.06
02/02/2020,02/03/2020,NEW YORK TIMES DIGITAL,Bills & Utilities,Sale,-16.00
01/30/2020,01/31/2020,WHOLEFDS RAM 10126,Groceries,Sale,-173.52
01/30/2020,01/31/2020,DOORDASH*CLEMENTINES,Food & Drink,Sale,-29.93
01/29/2020,01/31/2020,SPROUTS FARMERS MAR,Groceries,Sale,-74.11
01/29/2020,01/30/2020,DOORDASH CREDIT,Fees & Adjustments,Adjustment,60.00
01/29/2020,01/30/2020,DOORDASH*THE COUNTER,Food & Drink,Sale,-60.74
01/28/2020,01/29/2020,TARGET        00003285,Shopping,Sale,-5.53
01/27/2020,01/28/2020,WHOLEFDS DUN #10547,Groceries,Sale,-72.79
01/27/2020,01/28/2020,HOMEGOODS #0606,Shopping,Sale,-10.89
01/26/2020,01/27/2020,WHOLEFDS DUN #10547,Groceries,Sale,-55.54
01/25/2020,01/27/2020,THE COUNTER PLEASANTON,Food & Drink,Sale,-70.00
01/24/2020,01/26/2020,URBAN PLATES #6,Food & Drink,Sale,-31.18
01/24/2020,01/26/2020,OAKLAND PARK METER IPS,Bills & Utilities,Sale,-2.00
01/24/2020,01/26/2020,PEET'S #33202,Food & Drink,Sale,-6.35
01/22/2020,01/23/2020,WHOLEFDS DUN #10547,Groceries,Sale,-63.56
01/19/2020,01/21/2020,SQ *1-800-GOT-JUNK?,Shopping,Return,134.00
01/19/2020,01/20/2020,SQ *1-800-GOT-JUNK?,Professional Services,Sale,-384.00
01/18/2020,01/19/2020,WHOLEFDS RAM 10126,Groceries,Sale,-151.25
01/18/2020,01/19/2020,PATRICK WHALEN  PHD,Health & Wellness,Sale,-260.00
01/17/2020,01/17/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-77.33
01/13/2020,01/15/2020,DUBLIN TOYOTA,Automotive,Sale,-180.00
01/13/2020,01/15/2020,STARBUCKS STORE 05571,Food & Drink,Sale,-5.50
01/13/2020,01/14/2020,WHOLEFDS DUN #10547,Groceries,Sale,-154.77
01/12/2020,01/13/2020,CVS/PHARMACY #09378,Health & Wellness,Sale,-38.82
01/11/2020,01/12/2020,PATRICK WHALEN  PHD,Health & Wellness,Sale,-260.00
01/04/2020,01/05/2020,MICROVENTURES,Personal,Sale,-207.00
01/03/2020,01/05/2020,NEW YORK TIMES DIGITAL,Bills & Utilities,Sale,-16.00
01/02/2020,01/05/2020,SAFEWAY #638,Groceries,Sale,-26.31
