,Event ID,Ack.,Event Type,Event Code,Plant,Asset,Start Time,End Time,Duration,Energy Loss  (kWh),Rate Loss  (kWh / h),Work Order,Work Order Status,Controllable,Responsibility,Level 1,Level 2,Level 3,Level 4,Level 5,Level 4,Level 5,NERC Performance,FEH Level 1,FEH Level 2,System,Component
,EG-0014553193,UNACK,Comm Loss,PF400 - Communication Issue,058 - Tucson Randolph Golf Course,PYR01 - Pyranometer_POA - 165468.Sun2,08/28/2019 17:30:00,,68d 21:12:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0013715397,ACKED,Comm Loss,PF400 - Communication Issue,027 - San Diego- Mission Valley Library,PYR01 - Actual GHI,07/30/2019 06:00:00,,98d 08:42:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0013651378,ACKED,Inv Down,PF100 - Production Down,018 - City of Paso Robles - Sherwood Park,INV05 - INVERTER - 5,07/28/2019 12:20:00,,100d 02:22:19,15836.64213,6.59,WO-0288802,Completed,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0012739009,UNACK,Comm Loss,PF400 - Communication Issue,059 - Tucson Adaptive Rec,PYR01 - Pyranometer_POA - 167615.Sun2,06/25/2019 12:55:00,,133d 01:47:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0010298953,UNACK,Comm Loss,PF400 - Communication Issue,048 - Vail Academy,WIND01 - Wind Speed,03/28/2019 10:05:00,,222d 04:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0010298889,UNACK,Comm Loss,PF400 - Communication Issue,050 - Tucson Freedom Park,WIND01 - Wind Speed,03/28/2019 10:05:00,,222d 04:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0010299044,UNACK,Comm Loss,PF400 - Communication Issue,051 - Tucson Quincie Douglas Park,WIND01 - Wind Speed,03/28/2019 10:05:00,,222d 04:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0010298843,UNACK,Comm Loss,PF400 - Communication Issue,039 - Marana Silverbell District Park,WIND01 - Wind Speed,03/28/2019 09:05:00,,222d 05:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0010298952,UNACK,Comm Loss,PF400 - Communication Issue,040 - Pima Murphy Wilmot Library,WIND01 - Wind Speed,03/28/2019 09:05:00,,222d 05:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0004953607,UNACK,Comm Loss,PF400 - Communication Issue,009 - Kings Highway,INV01 - INV-1,06/14/2018 20:05:00,,508d 21:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0004953608,UNACK,Comm Loss,PF400 - Communication Issue,009 - Kings Highway,INV02 - INV-2,06/14/2018 20:05:00,,508d 21:37:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0016219430,UNACK,Plant Degraded,PF200 - Production Degraded,006 - City of San Diego- Point Loma Library,006 - City of San Diego- Point Loma Library,11/05/2019 12:10:00,11/05/2019 13:20:00,0d 01:10:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217622,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV12 - INVERTER 12,11/05/2019 09:15:00,11/05/2019 12:55:00,0d 03:40:00,62.39133,17.02,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217787,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV11 - INVERTER 11,11/05/2019 09:15:00,11/05/2019 12:55:00,0d 03:40:00,54.13862,14.77,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217628,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV13 - INVERTER 13,11/05/2019 09:10:00,11/05/2019 12:55:00,0d 03:45:00,64.94439,17.32,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217621,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV14 - INVERTER 14,11/05/2019 09:10:00,11/05/2019 12:55:00,0d 03:45:00,66.08382,17.62,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219654,UNACK,Inverter Degraded,PF200 - Production Degraded,007 - San Diego-Police Station Northern Division,INV03 - INV-3,11/05/2019 12:30:00,11/05/2019 12:45:00,0d 00:15:00,3.20827,12.83,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219471,UNACK,Inverter Degraded,PF200 - Production Degraded,006 - City of San Diego- Point Loma Library,INV01 - INV-1,11/05/2019 12:10:00,11/05/2019 12:35:00,0d 00:25:00,7.79315,18.7,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219006,UNACK,Inverter Degraded,PF200 - Production Degraded,006 - City of San Diego- Point Loma Library,INV01 - INV-1,11/05/2019 11:20:00,11/05/2019 12:05:00,0d 00:45:00,10.13138,13.51,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219402,UNACK,Inverter Degraded,PF200 - Production Degraded,060 - Midland Park - Godwin Elementary,INV01 - PV1-1,11/05/2019 14:55:00,11/05/2019 15:00:00,0d 00:05:00,0.34248,4.11,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219403,UNACK,Inverter Degraded,PF200 - Production Degraded,060 - Midland Park - Godwin Elementary,INV02 - PV1-2,11/05/2019 14:55:00,11/05/2019 15:00:00,0d 00:05:00,0.23517,2.82,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016218993,UNACK,Plant Degraded,PF200 - Production Degraded,006 - City of San Diego- Point Loma Library,006 - City of San Diego- Point Loma Library,11/05/2019 10:40:00,11/05/2019 12:00:00,0d 01:20:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219375,UNACK,Inverter Degraded,PF200 - Production Degraded,036 - Pima Minimum Security Annex 1,INV02 - INV-02,11/05/2019 12:20:00,11/05/2019 12:50:00,0d 00:30:00,6.97475,13.95,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219368,UNACK,Plant Degraded,PF200 - Production Degraded,036 - Pima Minimum Security Annex 1,036 - Pima Minimum Security Annex 1,11/05/2019 12:20:00,11/05/2019 12:45:00,0d 00:25:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219017,UNACK,Inverter Degraded,PF200 - Production Degraded,036 - Pima Minimum Security Annex 1,INV01 - INV-01,11/05/2019 11:45:00,11/05/2019 12:05:00,0d 00:20:00,8.90334,26.71,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219007,UNACK,Inverter Degraded,PF200 - Production Degraded,024 - Pima - Animal Care Center,INV06 - INV-6,11/05/2019 11:55:00,11/05/2019 12:00:00,0d 00:05:00,0.69845,8.38,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219003,UNACK,Plant Degraded,PF200 - Production Degraded,036 - Pima Minimum Security Annex 1,036 - Pima Minimum Security Annex 1,11/05/2019 11:10:00,11/05/2019 12:00:00,0d 00:50:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219015,UNACK,Inv Down,PF100 - Production Down,036 - Pima Minimum Security Annex 1,INV01 - INV-01,11/05/2019 11:20:00,11/05/2019 11:45:00,0d 00:25:00,6.04236,14.5,Create,,Controllable,O&M,,,Information Available,Non-Operative,Forced Outage,Forced Outage,Other Forced Outage,,,,,
,EG-0016219018,UNACK,Inverter Degraded,PF200 - Production Degraded,051 - Tucson Quincie Douglas Park,INV01 - INV-01 ,11/05/2019 11:25:00,11/05/2019 11:40:00,0d 00:15:00,6.13428,24.54,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016218156,UNACK,Inverter Degraded,PF200 - Production Degraded,051 - Tucson Quincie Douglas Park,INV02 - INV-04,11/05/2019 11:00:00,11/05/2019 11:40:00,0d 00:40:00,15.62445,23.44,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219014,UNACK,Inverter Degraded,PF200 - Production Degraded,036 - Pima Minimum Security Annex 1,INV03 - INV-03,11/05/2019 11:10:00,11/05/2019 11:35:00,0d 00:25:00,1.95398,4.69,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016218167,UNACK,Plant Degraded,PF200 - Production Degraded,051 - Tucson Quincie Douglas Park,051 - Tucson Quincie Douglas Park,11/05/2019 11:05:00,11/05/2019 11:20:00,0d 00:15:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217634,UNACK,Plant Degraded,PF200 - Production Degraded,006 - City of San Diego- Point Loma Library,006 - City of San Diego- Point Loma Library,11/05/2019 09:50:00,11/05/2019 10:15:00,0d 00:25:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217619,UNACK,Comm Loss,PF400 - Communication Issue,036 - Pima Minimum Security Annex 1,INV04 - INV-04,11/05/2019 10:40:00,11/05/2019 11:10:00,0d 00:30:00,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0016217254,UNACK,Plant Degraded,PF200 - Production Degraded,036 - Pima Minimum Security Annex 1,036 - Pima Minimum Security Annex 1,11/05/2019 09:50:00,11/05/2019 11:05:00,0d 01:15:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217768,UNACK,Inverter Degraded,PF200 - Production Degraded,028 - Tracy USD -  West HS,INV01 - INV-1,11/05/2019 09:50:00,11/05/2019 10:00:00,0d 00:10:00,1.04342,6.26,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217794,UNACK,Plant Degraded,PF200 - Production Degraded,066 - Saddle Brook Franklin ES,066 - Saddle Brook Franklin ES,11/05/2019 12:40:00,11/05/2019 12:55:00,0d 00:15:00,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
